rel_id,head,head_label,relation,tail,tail_label,description,doc_id,chunk_id
<<<<<<< HEAD
REL_000001,16 路报警显示单元,Component,HAS_COMPONENT,四芯航空插头,Component,16 路报警显示单元使用四芯航空插头,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5
REL_000002,16 路报警显示单元,Component,RELATED_TO,16 路采集单元,Component,16 路显示单元数据来源于 16 路采集单元,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_4
REL_000003,16 路采集单元,Component,RELATED_TO,设置地址码,DiagnosticMethod,16 路采集单元需要进行地址设定,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_4
REL_000004,24 路报警显示单元,Component,HAS_COMPONENT,七芯航空插头,Component,24 路报警显示单元使用七芯航空插头,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5
REL_000005,24 路报警显示单元,Component,RELATED_TO,24 路采集单元,Component,24 路显示单元数据来源于 24 路采集单元,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_4
REL_000006,24 路采集单元,Component,HAS_PARAMETER,开始地址为 0,Parameter,24 路采集单元主控地址参数,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_4
REL_000007,24 路采集单元,Component,HAS_PARAMETER,每组 8 路,Parameter,24 路采集单元数据分组参数,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_4
REL_000008,24 路采集单元,Component,RELATED_TO,设置地址码,DiagnosticMethod,24 路采集单元需要进行地址设定,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_4
REL_000009,2A 接线端子,Component,RELATED_TO,通讯线,Component,2A 接线端子需连接通讯线,柴油机智能延伸检测单元说明书,柴油机智能延伸检测单元说明书::chunk_4
REL_000010,2B 接线端子,Component,RELATED_TO,通讯线,Component,2B 接线端子需连接通讯线,柴油机智能延伸检测单元说明书,柴油机智能延伸检测单元说明书::chunk_4
REL_000011,485 通讯接口,Component,HAS_COMPONENT,2A 接线端子,Component,485 通讯接口包含 2A 接线端子,柴油机智能延伸检测单元说明书,柴油机智能延伸检测单元说明书::chunk_4
REL_000012,485 通讯接口,Component,HAS_COMPONENT,2B 接线端子,Component,485 通讯接口包含 2B 接线端子,柴油机智能延伸检测单元说明书,柴油机智能延伸检测单元说明书::chunk_4
REL_000013,485 通讯接口,Component,HAS_COMPONENT,GND 接线端子,Component,485 通讯接口包含 GND 接线端子,柴油机智能延伸检测单元说明书,柴油机智能延伸检测单元说明书::chunk_4
REL_000014,CDQY2A-PC2-6 型主推进装置系统,System,HAS_COMPONENT,主机遥控控制单元（RCU）,Component,系统包含主机遥控控制单元,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000015,CDQY2A-PC2-6 型主推进装置系统,System,HAS_COMPONENT,双气源净化装置,Component,系统包含双气源净化装置,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000016,CDQY2A-PC2-6 型主推进装置系统,System,HAS_COMPONENT,机舱控制箱,Component,系统包含机舱控制箱,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000017,CDQY2A-PC2-6 型主推进装置系统,System,HAS_COMPONENT,机舱阀箱,Component,系统包含机舱阀箱,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000018,CDQY2A-PC2-6 型主推进装置系统,System,HAS_COMPONENT,转速测量显示单元（SM）,Component,系统包含转速测量显示单元,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000019,CDQY2A-PC2-6 型主推进装置系统,System,HAS_COMPONENT,辅车钟单元（ATE）,Component,系统包含辅车钟单元,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000020,CDQY2A-PC2-6 型主推进装置系统,System,HAS_COMPONENT,遥控操纵器（MH）,Component,系统包含遥控操纵器,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000021,CDQY2A-PC2-6 型主推进装置系统,System,HAS_COMPONENT,遥控显示控制板（ICP）,Component,系统包含遥控显示控制板,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000022,CDQY2A-PC2-6 型主推进装置系统,System,HAS_COMPONENT,遥控调速机构,Component,系统包含遥控调速机构,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000023,CDQY2A-PC2-6 型主推进装置系统,System,HAS_COMPONENT,齿轮箱油压检测板,Component,系统包含齿轮箱油压检测板,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000024,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,10mm 厚橡胶垫,Component,系统安装包含防震橡胶垫,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000025,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,减震块,Component,系统安装包含防震减震块,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000026,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,日本 OMRON 公司 PLC 微机,Component,系统电控部分包含该 PLC 主控单元,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_0
REL_000027,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,机舱控制箱,Component,系统包含机舱控制箱组件,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_2
REL_000028,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,滞燃的帆布,Component,系统维护使用滞燃帆布,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000029,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,空气过滤器,Component,遥控系统包含空气过滤器组件,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_6
REL_000030,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,进口阀件,Component,系统气控部分包含该阀件组件,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_0
REL_000031,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,通船管件,Component,系统安装包含通船管件,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000032,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,遥控台,Component,系统包含遥控台组件,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_2
REL_000033,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,遥控系统指示灯,Component,系统配置有多种状态指示灯用于显示工作模式,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_5
REL_000034,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,遥控系统管路,Component,系统包含遥控管路组件,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000035,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,阀箱,Component,系统包含阀箱组件,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_2
REL_000036,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_COMPONENT,驾驶室的遥控操作器,Component,系统包含该操作器用于船员操纵,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_0
REL_000037,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_FAULT,主电源失压,FaultPhenomenon,系统可能发生主电源失压故障,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_6
